cog,id,keep_flag,mmsi,nav_status,nav_status_text,position_accuracy,raim,received_stations,repeat_indicator,rot,rot_over_range,slot_increment,slot_number,slot_offset,slot_timeout,slots_to_allocate,sog,spare,special_manoeuvre,sync_state,timestamp,true_heading,type,utc,utc_hour,utc_min,utc_spare,x,y
155.89999389648438,1,,431001145,0,Under way using engine,1,True,,0,0.0,False,,,2206,0,,8.199999809265137,0,0,0,18,154,123,2018-05-11T05:48:18Z,,,,139.773215,35.601483333333334
125.80000305175781,1,,431004325,0,Under way using engine,1,False,,0,0.0,False,,,2263,0,,0.0,0,0,0,18,336,123,2018-05-11T05:48:18Z,,,,139.76028333333332,35.52478833333333
218.8000030517578,1,,431010701,0,Under way using engine,1,True,367,0,0.0,False,,,,3,,0.0,0,0,0,18,187,123,2018-05-11T05:48:18Z,,,,139.75942,35.64608333333333
250.1999969482422,1,,431100997,0,Under way using engine,1,True,330,0,0.0,False,,,,3,,0.10000000149011612,0,0,0,19,277,123,2018-05-11T05:48:18Z,,,,139.75959833333334,35.645025
182.39999389648438,1,,431005882,0,Under way using engine,1,False,,0,0.0,False,,,,1,,0.10000000149011612,0,0,0,20,185,123,2018-05-11T05:48:18Z,5,48,0,139.75951666666666,35.64658
302.70001220703125,1,,431006206,0,Under way using engine,1,True,331,0,0.0,False,,,,5,,0.0,0,0,0,19,180,123,2018-05-11T05:48:18Z,,,,139.75931166666666,35.64519
231.0,1,,431005246,0,Under way using engine,1,False,,0,0.0,False,,786,,2,,0.10000000149011612,0,0,0,20,271,123,2018-05-11T05:48:21Z,,,,139.758515,35.63383666666667
303.0,1,,431000424,0,Under way using engine,1,False,,0,0.0,False,,798,,2,,0.0,0,0,0,17,197,123,2018-05-11T05:48:21Z,,,,139.76033333333334,35.649316666666664
60.0,3,False,431000925,0,Under way using engine,0,False,,0,0.0,False,248,,,,0,0.0,0,0,0,22,305,123,2018-05-11T05:48:22Z,,,,139.78596666666667,35.5255
208.8000030517578,1,,431010484,0,Under way using engine,1,False,396,0,0.0,False,,,,7,,0.20000000298023224,0,0,0,10,98,123,2018-05-11T05:48:22Z,,,,139.77170166666667,35.64068666666667
131.89999389648438,1,,431001455,0,Under way using engine,1,False,501,0,0.0,False,,,,5,,9.5,0,0,0,24,130,123,2018-05-11T05:48:23Z,,,,139.80771333333334,35.56847666666667
214.5,1,,431501619,0,Under way using engine,0,False,62,0,0.0,False,,,,3,,0.0,0,0,0,22,359,123,2018-05-11T05:48:23Z,,,,139.76045666666667,35.63845666666667
323.20001220703125,1,,431001305,0,Under way using engine,1,True,,0,0.0,False,,872,,2,,0.0,0,0,0,24,146,123,2018-05-11T05:48:23Z,,,,139.79686166666667,35.62379333333333
204.60000610351562,3,False,431010484,0,Under way using engine,1,False,,0,720.0032348632812,True,0,,,,0,0.20000000298023224,0,0,0,12,98,123,2018-05-11T05:48:23Z,,,,139.77170166666667,35.640683333333335
231.0,1,,431000377,0,Under way using engine,1,True,,0,0.0,False,,938,,2,,0.0,0,0,0,25,180,123,2018-05-11T05:48:25Z,,,,139.75917,35.64518666666667
192.60000610351562,3,False,431010484,0,Under way using engine,1,False,,0,720.0032348632812,True,491,,,,0,0.20000000298023224,0,0,0,14,99,123,2018-05-11T05:48:25Z,,,,139.771705,35.640683333333335
236.5,1,,431001102,0,Under way using engine,1,True,,0,0.0,False,,965,,4,,0.10000000149011612,0,0,0,26,34,123,2018-05-11T05:48:25Z,,,,139.75835166666667,35.63661666666667
299.0,1,,431000425,0,Under way using engine,1,False,258,0,0.0,False,,,,5,,0.0,0,0,0,23,14,123,2018-05-11T05:48:26Z,,,,139.76068333333333,35.650333333333336
211.6999969482422,1,,431401616,0,Under way using engine,0,False,,0,0.0,False,,994,,6,,0.10000000149011612,0,0,0,26,182,123,2018-05-11T05:48:26Z,,,,139.76043333333334,35.64471666666667
156.1999969482422,1,,431001145,0,Under way using engine,1,True,,0,0.0,False,,1029,,6,,8.199999809265137,0,0,0,28,153,123,2018-05-11T05:48:27Z,,,,139.77338333333333,35.601171666666666
218.8000030517578,1,,431010701,0,Under way using engine,1,True,368,0,0.0,False,,,,3,,0.0,0,0,0,27,187,123,2018-05-11T05:48:28Z,,,,139.75941833333334,35.646071666666664
249.10000610351562,1,,431100997,0,Under way using engine,1,True,,0,0.0,False,,1076,,4,,0.0,0,0,0,29,276,123,2018-05-11T05:48:28Z,,,,139.75959166666667,35.645023333333334
182.39999389648438,1,,431005882,0,Under way using engine,1,False,,0,0.0,False,,,,1,,0.10000000149011612,0,0,0,29,185,123,2018-05-11T05:48:29Z,5,48,0,139.75951666666666,35.64658
305.8999938964844,1,,431006206,0,Under way using engine,1,True,332,0,0.0,False,,,,3,,0.0,0,0,0,29,179,123,2018-05-11T05:48:29Z,,,,139.75931333333332,35.64519166666667
169.0,3,False,431010484,0,Under way using engine,1,False,,0,720.0032348632812,True,198,,,,0,0.30000001192092896,0,0,0,16,101,123,2018-05-11T05:48:29Z,,,,139.77170666666666,35.64068
153.0,3,False,431501723,5,Moored,1,False,,0,0.0,False,0,,,,0,0.0,0,0,0,28,327,123,2018-05-11T05:48:29Z,,,,139.78625,35.623866666666665
231.0,1,,431005246,0,Under way using engine,1,False,,0,0.0,False,,,,1,,0.10000000149011612,0,0,0,30,271,123,2018-05-11T05:48:30Z,5,48,0,139.75851333333333,35.633835
11.0,3,True,431000253,0,Under way using engine,1,False,,0,720.0032348632812,True,268,,,,0,3.700000047683716,0,0,0,31,35,123,2018-05-11T05:48:30Z,,,,139.9196,35.50685
157.3000030517578,1,,431010484,0,Under way using engine,1,False,,0,720.0032348632812,True,,1189,,4,,0.20000000298023224,0,0,0,20,103,123,2018-05-11T05:48:31Z,,,,139.77171,35.640675
136.8000030517578,1,,431100926,5,Moored,1,True,325,0,-731.386474609375,True,,,,3,,9.0,0,0,0,32,511,123,2018-05-11T05:48:31Z,,,,139.79538833333334,35.57799333333333
303.0,1,,431000424,0,Under way using engine,1,False,,0,0.0,False,,1207,,4,,0.0,0,0,0,30,197,123,2018-05-11T05:48:32Z,,,,139.76033333333334,35.649316666666664
131.89999389648438,1,,431001455,0,Under way using engine,1,False,,0,0.0,False,,,,1,,9.399999618530273,0,0,0,32,130,123,2018-05-11T05:48:32Z,5,48,0,139.808075,35.56821166666667
38.599998474121094,1,,351566000,0,Under way using engine,1,True,,0,-720.0032348632812,True,,,,1,,12.800000190734863,0,0,0,33,34,123,2018-05-11T05:48:33Z,5,48,0,139.86884333333333,35.49322
215.1999969482422,1,,431501619,0,Under way using engine,0,False,,0,0.0,False,,1266,,4,,0.0,0,0,0,32,359,123,2018-05-11T05:48:34Z,,,,139.76045666666667,35.63845666666667
150.39999389648438,3,False,431010484,0,Under way using engine,1,False,,0,720.0032348632812,True,512,,,,0,0.30000001192092896,0,0,0,22,104,123,2018-05-11T05:48:34Z,,,,139.77171,35.64067
211.6999969482422,1,,431401616,0,Under way using engine,0,False,,0,0.0,False,,1305,,2,,0.10000000149011612,0,0,0,35,182,123,2018-05-11T05:48:35Z,,,,139.76043333333334,35.64471666666667
24.799999237060547,1,,431101146,15,Not defined,1,False,,0,0.0,False,,1328,,6,,0.10000000149011612,0,0,0,36,31,123,2018-05-11T05:48:35Z,,,,139.75821833333333,35.636741666666666
