ais_version,callsign,destination,dim_a,dim_b,dim_c,dim_d,draught,dte,epfd_text(fix_type),eta_day,eta_hour,eta_minute,eta_month,fix_type,id,imo_num,mmsi,name,repeat_indicator,shiptype_text(type_and_cargo),spare,type,type_and_cargo,utc
1,3FSZ4  ,JP-UKB              ,196,71,27,9,10.899999618530273,0,GPS,15,4,0,5,1,5,9463310,354362000,BRUSSELS BRIDGE     ,0,"Cargo, all ships of this type",0,5,70,2018-05-11T05:52:40Z
0,JD2030 ,TOKYO               ,19,19,6,6,4.400000095367432,0,GPS,0,24,60,0,1,5,0,431001102,FUJI MARU           ,0,Tug,0,5,52,2018-05-11T05:52:47Z
0,JG4912 ,>JP TYO H           ,18,47,3,10,2.700000047683716,0,GPS,14,9,20,5,1,5,8901717,431000431,VINGTETUN           ,0,"Passenger, all ships of this type",0,5,60,2018-05-11T05:52:52Z
0,S6HU4  ,JP TYO              ,190,17,10,19,9.399999618530273,0,GPS,13,6,45,5,1,5,9234111,563498000,APL JEDDAH          ,0,"Cargo, all ships of this type",0,5,70,2018-05-11T05:52:55Z
2,JD4286 ,SEA TRIAL           ,13,24,6,3,4.5,0,Undefined,7,8,0,5,0,5,0,431010484,OEDO                ,0,Search and Rescue vessel,0,5,51,2018-05-11T05:53:08Z
0,JG4838 ,JP TYO H            ,27,43,4,6,2.5999999046325684,0,GPS,14,20,0,5,1,5,8814005,431000425,SYMPHONY CLASSICA   ,0,"Passenger, all ships of this type",0,5,60,2018-05-11T05:53:21Z
0,S6HU4  ,JP TYO              ,190,17,10,19,9.399999618530273,0,GPS,13,6,45,5,1,5,9234111,563498000,APL JEDDAH          ,0,"Cargo, all ships of this type",0,5,70,2018-05-11T05:53:36Z
0,JK5574 ,>JP KSM NW          ,64,12,5,7,4.199999809265137,0,GPS,15,5,0,5,1,5,9207493,431401616,TAIZANMARU          ,0,"Cargo, all ships of this type",0,5,70,2018-05-11T05:53:39Z
0,S6HU4  ,JP TYO              ,190,17,10,19,9.399999618530273,0,GPS,13,6,45,5,1,5,9234111,563498000,APL JEDDAH          ,0,"Cargo, all ships of this type",0,5,70,2018-05-11T05:53:45Z
0,JL6688 ,>JP OSA F-7         ,44,123,19,5,6.400000095367432,0,GPS,15,14,0,5,1,5,9276274,431501723,SHURI               ,0,"Cargo, all ships of this type",0,5,70,2018-05-11T05:53:57Z
0,JK5360 ,>JP KZU             ,42,10,3,10,2.0,0,GPS,14,19,30,5,1,5,0,431000671,SINKOU MARU         ,0,Not available,0,5,0,2018-05-11T05:54:06Z
1,7JVV   ,JP TYO H            ,35,29,6,6,4.599999904632568,0,GPS,14,5,0,4,1,5,9767675,431328000,SHINYO MARU         ,0,"Other Type, all ships of this type",0,5,90,2018-05-11T05:54:08Z
