Time (UTC),Message Type,Repeat Indicator,MMSI,AIS Version,IMO Number,Call Sign,Vessel Name,Ship Type,Dimension to Bow,Dimension to Stern,Dimension to Port,Dimestion to Starboard,Position Fix Type,ETA month (UTC),ETA day (UTC),ETA hour (UTC),ETA minute (UTC),Draught,Destination,DTE,Spare
055232,5,0,431007575,2,0,JD3965 ,FERRY SHIMANTO      ,60,48,143,11,16,1,5,15,4,20,7.099999904632568,JP TKX              ,0,0
055236,5,0,431400651,1,8817095,JM5763 ,EASTERN ACE         ,70,94,20,14,4,1,5,13,22,30,6.800000190734863,JP TYO L            ,0,0
055240,5,0,354362000,1,9463310,3FSZ4  ,BRUSSELS BRIDGE     ,70,196,71,27,9,1,5,15,4,0,10.899999618530273,JP-UKB              ,0,0
055247,5,0,431001102,0,0,JD2030 ,FUJI MARU           ,52,19,19,6,6,1,0,0,24,60,4.400000095367432,TOKYO               ,0,0
055251,5,0,431000431,0,8901717,JG4912 ,VINGTETUN           ,60,18,47,3,10,1,5,14,9,20,2.700000047683716,>JP TYO H           ,0,0
055255,5,0,563498000,0,9234111,S6HU4  ,APL JEDDAH          ,70,190,17,10,19,1,5,13,6,45,9.399999618530273,JP TYO              ,0,0
055308,5,0,431010484,2,0,JD4286 ,OEDO                ,51,13,24,6,3,0,5,7,8,0,4.5,SEA TRIAL           ,0,0
055320,5,0,431000425,0,8814005,JG4838 ,SYMPHONY CLASSICA   ,60,27,43,4,6,1,5,14,20,0,2.5999999046325684,JP TYO H            ,0,0
055336,5,0,563498000,0,9234111,S6HU4  ,APL JEDDAH          ,70,190,17,10,19,1,5,13,6,45,9.399999618530273,JP TYO              ,0,0
055338,5,0,431401616,0,9207493,JK5574 ,TAIZANMARU          ,70,64,12,5,7,1,5,15,5,0,4.199999809265137,>JP KSM NW          ,0,0
055344,5,0,563498000,0,9234111,S6HU4  ,APL JEDDAH          ,70,190,17,10,19,1,5,13,6,45,9.399999618530273,JP TYO              ,0,0
055356,5,0,431501723,0,9276274,JL6688 ,SHURI               ,70,44,123,19,5,1,5,15,14,0,6.400000095367432,>JP OSA F-7         ,0,0
055405,5,0,431000671,0,0,JK5360 ,SINKOU MARU         ,0,42,10,3,10,1,5,14,19,30,2.0,>JP KZU             ,0,0
055407,5,0,431328000,1,9767675,7JVV   ,SHINYO MARU         ,90,35,29,6,6,1,4,14,5,0,4.599999904632568,JP TYO H            ,0,0
